[2025-07-31 03:12:09] ERROR: Intento de login sin contraseña {"email":"elias@gmail.com"}
[2025-07-31 03:12:09] INFO: Usuario ya autenticado intentó acceder al login {"user_id":5,"email":"elias@gmail.com"}
[2025-07-31 21:03:53] WARNING: Las contraseñas no coinciden en formulario de registro {"email":"ulisespoke22@gmail.com"}
[2025-07-31 21:03:53] WARNING: Redireccionando con error de registro {"error":"Las contraseñas no coinciden"}
[2025-07-31 21:03:53] WARNING: Las contraseñas no coinciden en formulario de registro {"email":""}
[2025-07-31 21:03:53] WARNING: Redireccionando con error de registro {"error":"Las contraseñas no coinciden"}
[2025-07-31 21:03:53] WARNING: Las contraseñas no coinciden en formulario de registro {"email":""}
[2025-07-31 21:03:53] WARNING: Redireccionando con error de registro {"error":"Las contraseñas no coinciden"}
[2025-07-31 21:03:53] WARNING: Las contraseñas no coinciden en formulario de registro {"email":""}
[2025-07-31 21:03:53] WARNING: Redireccionando con error de registro {"error":"Las contraseñas no coinciden"}
[2025-07-31 21:03:53] WARNING: Las contraseñas no coinciden en formulario de registro {"email":""}
[2025-07-31 21:03:53] WARNING: Redireccionando con error de registro {"error":"Las contraseñas no coinciden"}
[2025-07-31 21:03:53] WARNING: Las contraseñas no coinciden en formulario de registro {"email":""}
[2025-07-31 21:03:53] WARNING: Redireccionando con error de registro {"error":"Las contraseñas no coinciden"}
[2025-07-31 21:03:53] WARNING: Las contraseñas no coinciden en formulario de registro {"email":""}
[2025-07-31 21:03:53] WARNING: Redireccionando con error de registro {"error":"Las contraseñas no coinciden"}
[2025-07-31 21:03:53] WARNING: Las contraseñas no coinciden en formulario de registro {"email":""}
[2025-07-31 21:03:53] WARNING: Redireccionando con error de registro {"error":"Las contraseñas no coinciden"}
[2025-07-31 21:03:53] WARNING: Las contraseñas no coinciden en formulario de registro {"email":""}
[2025-07-31 21:03:53] WARNING: Redireccionando con error de registro {"error":"Las contraseñas no coinciden"}
[2025-07-31 21:03:53] WARNING: Las contraseñas no coinciden en formulario de registro {"email":""}
[2025-07-31 21:03:53] WARNING: Redireccionando con error de registro {"error":"Las contraseñas no coinciden"}
[2025-07-31 21:03:53] WARNING: Las contraseñas no coinciden en formulario de registro {"email":""}
[2025-07-31 21:03:53] WARNING: Redireccionando con error de registro {"error":"Las contraseñas no coinciden"}
[2025-07-31 21:03:53] WARNING: Las contraseñas no coinciden en formulario de registro {"email":""}
